VALUE,TEMP_rec
0.4706554413,6.00000
0.1781566143,11.00000
0.1996215731,10.00000
0.0904817879,8.00000
0.1453555971,11.00000
0.1607530564,11.00000
0.0857115835,11.00000
0.1742127538,12.00000
0.5015740395,8.00000
-0.0772881731,5.00000
0.1449444890,9.00000
0.1998255998,6.00000
0.1097407117,9.00000
0.2395327091,10.00000
0.1794307232,6.00000
0.2611581385,3.00000
-0.0831916556,5.00000
-0.0875538960,5.00000
0.1402875632,12.00000
0.5176196694,8.00000
0.3712852895,6.00000
0.2212057710,12.00000
0.1276415885,11.00000
0.2957153916,9.00000
0.1290690154,4.00000
0.1111606360,4.00000
-0.0825329274,5.00000
0.1652026921,12.00000
0.1820013076,12.00000
0.2505878806,11.00000
0.2077787221,10.00000
0.1052168384,11.00000
0.4161711037,8.00000
0.0509836897,11.00000
0.1050799116,12.00000
0.4403229356,7.00000
0.3202802837,6.00000
0.1294748634,8.00000
0.1939023286,12.00000
0.3462525606,10.00000
0.2460249513,4.00000
0.1305441111,3.00000
0.1660620719,9.00000
0.4395998120,8.00000
0.1824211180,6.00000
0.2028127760,4.00000
0.1729814857,12.00000
0.2137677967,11.00000
0.1247707605,11.00000
0.3105902076,8.00000
0.0423608832,8.00000
0.1720513105,11.00000
0.2364875525,11.00000
-0.0186236650,6.00000
0.1755249500,12.00000
0.1077863425,12.00000
0.3678434491,11.00000
0.2902511358,8.00000
0.1547071636,12.00000
-0.0082209492,13.00000
0.1434335262,11.00000
0.0551745631,10.00000
0.1473986506,6.00000
0.1346218884,8.00000
0.0417369306,6.00000
0.4024115503,6.00000
0.2127923220,9.00000
0.1383194923,8.00000
0.1647651494,9.00000
0.1624721140,8.00000
0.0839428008,8.00000
0.3929022253,10.00000
0.3285896182,11.00000
0.2231998444,10.00000
0.2019290775,5.00000
0.3066639304,6.00000
0.3747763932,5.00000
0.3321838677,11.00000
0.1665588170,12.00000
0.0750873387,10.00000
0.1493733078,8.00000
0.0722561777,10.00000
-0.0811230615,6.00000
0.1547414958,12.00000
0.1240425035,12.00000
0.1097162515,10.00000
0.1647657454,5.00000
0.1578470767,12.00000
0.1293448061,10.00000
0.1125032604,10.00000
0.1844972968,5.00000
0.2146998346,12.00000
0.3193101883,6.00000
0.3889905810,6.00000
0.1273455769,8.00000
0.1210601330,9.00000
0.1422555745,2.00000
0.4050890505,6.00000
0.3958145082,6.00000
0.1522505134,12.00000
0.1623789519,11.00000
0.2265851200,11.00000
0.2833949029,11.00000
0.2932215631,12.00000
0.2247903794,12.00000
0.4077361226,8.00000
0.2122669816,12.00000
0.1457618624,12.00000
0.1549502909,8.00000
0.2012578547,12.00000
0.0944467261,7.00000
-0.0640544891,4.00000
0.2689659893,12.00000
0.1955679804,13.00000
0.1137577891,9.00000
0.0750567690,10.00000
0.3186410963,11.00000
-0.0208476521,6.00000
0.1445830911,8.00000
0.1701073050,8.00000
0.4513001740,6.00000
0.4709968567,6.00000
0.1366596967,9.00000
0.1598949879,10.00000
0.1355304569,11.00000
0.1570936441,13.00000
0.1519700885,13.00000
0.3064242303,12.00000
0.4889478385,6.00000
0.2323613614,12.00000
0.1540496945,12.00000
